,index,Date_TimeCaught,year,week_of_year,year_woy,CaptureSite,Capture_Number
62,1926,2019-05-06,2019,19,201919,CaptureSite_1,0.0
63,1927,2019-05-13,2019,20,201920,CaptureSite_1,0.0
64,1928,2019-05-20,2019,21,201921,CaptureSite_1,0.0
65,1929,2019-05-27,2019,22,201922,CaptureSite_1,0.0
66,1930,2019-06-03,2019,23,201923,CaptureSite_1,0.0
67,1931,2019-06-10,2019,24,201924,CaptureSite_1,0.0
68,1932,2019-06-17,2019,25,201925,CaptureSite_1,0.0
69,1933,2019-06-24,2019,26,201926,CaptureSite_1,0.0
70,1934,2019-07-01,2019,27,201927,CaptureSite_1,0.0
71,1935,2019-07-08,2019,28,201928,CaptureSite_1,0.0
72,1936,2019-07-15,2019,29,201929,CaptureSite_1,0.0
73,1937,2019-07-22,2019,30,201930,CaptureSite_1,0.0
74,1938,2019-07-29,2019,31,201931,CaptureSite_1,0.0
75,1939,2019-08-05,2019,32,201932,CaptureSite_1,0.0
76,1940,2019-08-12,2019,33,201933,CaptureSite_1,0.0
77,1941,2019-08-19,2019,34,201934,CaptureSite_1,0.0
78,1942,2019-08-26,2019,35,201935,CaptureSite_1,0.0
79,1943,2019-09-02,2019,36,201936,CaptureSite_1,0.0
80,1944,2019-09-09,2019,37,201937,CaptureSite_1,0.0
81,1945,2019-09-16,2019,38,201938,CaptureSite_1,0.0
82,1946,2019-09-23,2019,39,201939,CaptureSite_1,0.0
83,1947,2019-09-30,2019,40,201940,CaptureSite_1,0.0
84,1948,2019-10-07,2019,41,201941,CaptureSite_1,0.0
85,1949,2019-10-14,2019,42,201942,CaptureSite_1,0.0
86,1950,2019-10-21,2019,43,201943,CaptureSite_1,0.0
87,1951,2019-10-28,2019,44,201944,CaptureSite_1,0.0
88,2897,2019-01-01,2019,1,201901,CaptureSite_10,0.0
89,2898,2019-01-07,2019,2,201902,CaptureSite_10,0.0
90,2899,2019-01-14,2019,3,201903,CaptureSite_10,0.0
91,2900,2019-01-21,2019,4,201904,CaptureSite_10,0.0
92,2901,2019-01-28,2019,5,201905,CaptureSite_10,0.0
93,2902,2019-02-04,2019,6,201906,CaptureSite_10,0.0
94,2903,2019-02-11,2019,7,201907,CaptureSite_10,0.0
95,2904,2019-02-18,2019,8,201908,CaptureSite_10,0.0
96,2905,2019-02-25,2019,9,201909,CaptureSite_10,0.0
97,2906,2019-03-04,2019,10,201910,CaptureSite_10,0.0
98,2907,2019-03-11,2019,11,201911,CaptureSite_10,0.0
99,2908,2019-03-18,2019,12,201912,CaptureSite_10,0.0
100,2909,2019-03-25,2019,13,201913,CaptureSite_10,0.0
101,2910,2019-04-01,2019,14,201914,CaptureSite_10,0.0
102,2911,2019-04-08,2019,15,201915,CaptureSite_10,0.0
103,2912,2019-04-15,2019,16,201916,CaptureSite_10,0.0
104,2913,2019-04-22,2019,17,201917,CaptureSite_10,0.0
105,2914,2019-04-29,2019,18,201918,CaptureSite_10,0.0
106,2915,2019-05-06,2019,19,201919,CaptureSite_10,0.0
107,2916,2019-05-13,2019,20,201920,CaptureSite_10,0.0
108,2917,2019-05-20,2019,21,201921,CaptureSite_10,0.0
109,2918,2019-05-27,2019,22,201922,CaptureSite_10,0.0
110,2919,2019-06-03,2019,23,201923,CaptureSite_10,0.0
111,2920,2019-06-10,2019,24,201924,CaptureSite_10,0.0
112,2921,2019-06-17,2019,25,201925,CaptureSite_10,0.0
113,2922,2019-06-24,2019,26,201926,CaptureSite_10,0.0
114,2923,2019-07-01,2019,27,201927,CaptureSite_10,0.0
115,2924,2019-07-08,2019,28,201928,CaptureSite_10,0.0
116,2925,2019-07-15,2019,29,201929,CaptureSite_10,0.0
117,2926,2019-07-22,2019,30,201930,CaptureSite_10,0.0
118,2927,2019-07-29,2019,31,201931,CaptureSite_10,0.0
119,2928,2019-08-05,2019,32,201932,CaptureSite_10,0.0
120,2929,2019-08-12,2019,33,201933,CaptureSite_10,0.0
121,2930,2019-08-19,2019,34,201934,CaptureSite_10,0.0
122,2931,2019-08-26,2019,35,201935,CaptureSite_10,0.0
123,2932,2019-09-02,2019,36,201936,CaptureSite_10,0.0
124,2933,2019-09-09,2019,37,201937,CaptureSite_10,0.0
125,2934,2019-09-16,2019,38,201938,CaptureSite_10,0.0
126,2935,2019-09-23,2019,39,201939,CaptureSite_10,0.0
127,2936,2019-09-30,2019,40,201940,CaptureSite_10,0.0
128,2937,2019-10-07,2019,41,201941,CaptureSite_10,0.0
129,2938,2019-10-14,2019,42,201942,CaptureSite_10,0.0
130,2939,2019-10-21,2019,43,201943,CaptureSite_10,0.0
131,2940,2019-10-28,2019,44,201944,CaptureSite_10,0.0
132,4014,2019-01-01,2019,1,201901,CaptureSite_11,0.0
133,4015,2019-01-07,2019,2,201902,CaptureSite_11,0.0
134,4016,2019-01-14,2019,3,201903,CaptureSite_11,0.0
135,4017,2019-01-21,2019,4,201904,CaptureSite_11,0.0
136,4018,2019-01-28,2019,5,201905,CaptureSite_11,0.0
137,4019,2019-02-04,2019,6,201906,CaptureSite_11,0.0
138,4020,2019-02-11,2019,7,201907,CaptureSite_11,0.0
139,4021,2019-02-18,2019,8,201908,CaptureSite_11,0.0
140,4022,2019-02-25,2019,9,201909,CaptureSite_11,0.0
141,4023,2019-03-04,2019,10,201910,CaptureSite_11,0.0
142,4024,2019-03-11,2019,11,201911,CaptureSite_11,0.0
143,4025,2019-03-18,2019,12,201912,CaptureSite_11,0.0
144,4026,2019-03-25,2019,13,201913,CaptureSite_11,0.0
145,4027,2019-04-01,2019,14,201914,CaptureSite_11,0.0
146,4028,2019-04-08,2019,15,201915,CaptureSite_11,0.0
147,4029,2019-04-15,2019,16,201916,CaptureSite_11,0.0
148,4030,2019-04-22,2019,17,201917,CaptureSite_11,0.0
149,4031,2019-04-29,2019,18,201918,CaptureSite_11,0.0
150,4032,2019-05-06,2019,19,201919,CaptureSite_11,0.0
151,4033,2019-05-13,2019,20,201920,CaptureSite_11,0.0
152,4034,2019-05-20,2019,21,201921,CaptureSite_11,0.0
153,4035,2019-05-27,2019,22,201922,CaptureSite_11,0.0
154,4036,2019-06-03,2019,23,201923,CaptureSite_11,0.0
155,4037,2019-06-10,2019,24,201924,CaptureSite_11,0.0
156,4038,2019-06-17,2019,25,201925,CaptureSite_11,0.0
157,4039,2019-06-24,2019,26,201926,CaptureSite_11,0.0
158,4040,2019-07-01,2019,27,201927,CaptureSite_11,0.0
159,4041,2019-07-08,2019,28,201928,CaptureSite_11,0.0
160,4042,2019-07-15,2019,29,201929,CaptureSite_11,0.0
161,4043,2019-07-22,2019,30,201930,CaptureSite_11,0.0
162,4044,2019-07-29,2019,31,201931,CaptureSite_11,0.0
163,4045,2019-08-05,2019,32,201932,CaptureSite_11,0.0
164,4046,2019-08-12,2019,33,201933,CaptureSite_11,0.0
165,4047,2019-08-19,2019,34,201934,CaptureSite_11,0.0
166,4048,2019-08-26,2019,35,201935,CaptureSite_11,0.0
167,4049,2019-09-02,2019,36,201936,CaptureSite_11,0.0
168,4050,2019-09-09,2019,37,201937,CaptureSite_11,0.0
169,4051,2019-09-16,2019,38,201938,CaptureSite_11,0.0
170,4052,2019-09-23,2019,39,201939,CaptureSite_11,0.0
171,4053,2019-09-30,2019,40,201940,CaptureSite_11,0.0
172,4054,2019-10-07,2019,41,201941,CaptureSite_11,0.0
173,4055,2019-10-14,2019,42,201942,CaptureSite_11,0.0
174,4056,2019-10-21,2019,43,201943,CaptureSite_11,0.0
175,4057,2019-10-28,2019,44,201944,CaptureSite_11,0.0
176,4994,2019-01-01,2019,1,201901,CaptureSite_12,0.0
177,4995,2019-01-07,2019,2,201902,CaptureSite_12,0.0
178,4996,2019-01-14,2019,3,201903,CaptureSite_12,0.0
179,4997,2019-01-21,2019,4,201904,CaptureSite_12,0.0
180,4998,2019-01-28,2019,5,201905,CaptureSite_12,0.0
181,4999,2019-02-04,2019,6,201906,CaptureSite_12,0.0
182,5000,2019-02-11,2019,7,201907,CaptureSite_12,0.0
183,5001,2019-02-18,2019,8,201908,CaptureSite_12,0.0
184,5002,2019-02-25,2019,9,201909,CaptureSite_12,0.0
185,5003,2019-03-04,2019,10,201910,CaptureSite_12,0.0
186,5004,2019-03-11,2019,11,201911,CaptureSite_12,0.0
187,5005,2019-03-18,2019,12,201912,CaptureSite_12,0.0
188,5006,2019-03-25,2019,13,201913,CaptureSite_12,0.0
189,5007,2019-04-01,2019,14,201914,CaptureSite_12,0.0
190,5008,2019-04-08,2019,15,201915,CaptureSite_12,0.0
191,5009,2019-04-15,2019,16,201916,CaptureSite_12,0.0
192,5010,2019-04-22,2019,17,201917,CaptureSite_12,0.0
193,5011,2019-04-29,2019,18,201918,CaptureSite_12,0.0
194,5012,2019-05-06,2019,19,201919,CaptureSite_12,0.0
195,5013,2019-05-13,2019,20,201920,CaptureSite_12,0.0
196,5014,2019-05-20,2019,21,201921,CaptureSite_12,0.0
197,5015,2019-05-27,2019,22,201922,CaptureSite_12,0.0
198,5016,2019-06-03,2019,23,201923,CaptureSite_12,0.0
199,5017,2019-06-10,2019,24,201924,CaptureSite_12,0.0
200,5018,2019-06-17,2019,25,201925,CaptureSite_12,0.0
201,5019,2019-06-24,2019,26,201926,CaptureSite_12,0.0
202,5020,2019-07-01,2019,27,201927,CaptureSite_12,0.0
203,5021,2019-07-08,2019,28,201928,CaptureSite_12,0.0
204,5022,2019-07-15,2019,29,201929,CaptureSite_12,0.0
205,5023,2019-07-22,2019,30,201930,CaptureSite_12,0.0
206,5024,2019-07-29,2019,31,201931,CaptureSite_12,0.0
207,5025,2019-08-05,2019,32,201932,CaptureSite_12,0.0
208,5026,2019-08-12,2019,33,201933,CaptureSite_12,0.0
209,5027,2019-08-19,2019,34,201934,CaptureSite_12,0.0
210,5028,2019-08-26,2019,35,201935,CaptureSite_12,0.0
211,5029,2019-09-02,2019,36,201936,CaptureSite_12,0.0
212,5030,2019-09-09,2019,37,201937,CaptureSite_12,0.0
213,5031,2019-09-16,2019,38,201938,CaptureSite_12,0.0
214,5032,2019-09-23,2019,39,201939,CaptureSite_12,0.0
215,5033,2019-09-30,2019,40,201940,CaptureSite_12,0.0
216,5034,2019-10-07,2019,41,201941,CaptureSite_12,0.0
217,5035,2019-10-14,2019,42,201942,CaptureSite_12,0.0
218,5036,2019-10-21,2019,43,201943,CaptureSite_12,0.0
219,5037,2019-10-28,2019,44,201944,CaptureSite_12,0.0
220,5957,2019-01-01,2019,1,201901,CaptureSite_13,0.0
221,5958,2019-01-07,2019,2,201902,CaptureSite_13,0.0
222,5959,2019-01-14,2019,3,201903,CaptureSite_13,0.0
223,5960,2019-01-21,2019,4,201904,CaptureSite_13,0.0
224,5961,2019-01-28,2019,5,201905,CaptureSite_13,0.0
225,5962,2019-02-04,2019,6,201906,CaptureSite_13,0.0
226,5963,2019-02-11,2019,7,201907,CaptureSite_13,0.0
227,5964,2019-02-18,2019,8,201908,CaptureSite_13,0.0
228,5965,2019-02-25,2019,9,201909,CaptureSite_13,0.0
229,5966,2019-03-04,2019,10,201910,CaptureSite_13,0.0
230,5967,2019-03-11,2019,11,201911,CaptureSite_13,0.0
231,5968,2019-03-18,2019,12,201912,CaptureSite_13,0.0
232,5969,2019-03-25,2019,13,201913,CaptureSite_13,0.0
233,5970,2019-04-01,2019,14,201914,CaptureSite_13,0.0
234,5971,2019-04-08,2019,15,201915,CaptureSite_13,0.0
235,5972,2019-04-15,2019,16,201916,CaptureSite_13,0.0
236,5973,2019-04-22,2019,17,201917,CaptureSite_13,0.0
237,5974,2019-04-29,2019,18,201918,CaptureSite_13,0.0
238,5975,2019-05-06,2019,19,201919,CaptureSite_13,0.0
239,5976,2019-05-13,2019,20,201920,CaptureSite_13,0.0
240,5977,2019-05-20,2019,21,201921,CaptureSite_13,0.0
241,5978,2019-05-27,2019,22,201922,CaptureSite_13,0.0
242,5979,2019-06-03,2019,23,201923,CaptureSite_13,0.0
243,5980,2019-06-10,2019,24,201924,CaptureSite_13,0.0
244,5981,2019-06-17,2019,25,201925,CaptureSite_13,0.0
245,5982,2019-06-24,2019,26,201926,CaptureSite_13,0.0
246,5983,2019-07-01,2019,27,201927,CaptureSite_13,0.0
247,5984,2019-07-08,2019,28,201928,CaptureSite_13,0.0
248,5985,2019-07-15,2019,29,201929,CaptureSite_13,0.0
249,5986,2019-07-22,2019,30,201930,CaptureSite_13,0.0
250,5987,2019-07-29,2019,31,201931,CaptureSite_13,0.0
251,5988,2019-08-05,2019,32,201932,CaptureSite_13,0.0
252,5989,2019-08-12,2019,33,201933,CaptureSite_13,0.0
253,5990,2019-08-19,2019,34,201934,CaptureSite_13,0.0
254,5991,2019-08-26,2019,35,201935,CaptureSite_13,0.0
255,5992,2019-09-02,2019,36,201936,CaptureSite_13,0.0
256,5993,2019-09-09,2019,37,201937,CaptureSite_13,0.0
257,5994,2019-09-16,2019,38,201938,CaptureSite_13,0.0
258,5995,2019-09-23,2019,39,201939,CaptureSite_13,0.0
259,5996,2019-09-30,2019,40,201940,CaptureSite_13,0.0
260,5997,2019-10-07,2019,41,201941,CaptureSite_13,0.0
261,5998,2019-10-14,2019,42,201942,CaptureSite_13,0.0
262,5999,2019-10-21,2019,43,201943,CaptureSite_13,0.0
263,6000,2019-10-28,2019,44,201944,CaptureSite_13,0.0
264,6943,2019-01-01,2019,1,201901,CaptureSite_14,0.0
265,6944,2019-01-07,2019,2,201902,CaptureSite_14,0.0
266,6945,2019-01-14,2019,3,201903,CaptureSite_14,0.0
267,6946,2019-01-21,2019,4,201904,CaptureSite_14,0.0
268,6947,2019-01-28,2019,5,201905,CaptureSite_14,0.0
269,6948,2019-02-04,2019,6,201906,CaptureSite_14,0.0
270,6949,2019-02-11,2019,7,201907,CaptureSite_14,0.0
271,6950,2019-02-18,2019,8,201908,CaptureSite_14,0.0
272,6951,2019-02-25,2019,9,201909,CaptureSite_14,0.0
273,6952,2019-03-04,2019,10,201910,CaptureSite_14,0.0
274,6953,2019-03-11,2019,11,201911,CaptureSite_14,0.0
275,6954,2019-03-18,2019,12,201912,CaptureSite_14,0.0
276,6955,2019-03-25,2019,13,201913,CaptureSite_14,0.0
277,6956,2019-04-01,2019,14,201914,CaptureSite_14,0.0
278,6957,2019-04-08,2019,15,201915,CaptureSite_14,0.0
279,6958,2019-04-15,2019,16,201916,CaptureSite_14,0.0
280,6959,2019-04-22,2019,17,201917,CaptureSite_14,0.0
281,6960,2019-04-29,2019,18,201918,CaptureSite_14,0.0
282,6961,2019-05-06,2019,19,201919,CaptureSite_14,0.0
283,6962,2019-05-13,2019,20,201920,CaptureSite_14,0.0
284,6963,2019-05-20,2019,21,201921,CaptureSite_14,0.0
285,6964,2019-05-27,2019,22,201922,CaptureSite_14,0.0
286,6965,2019-06-03,2019,23,201923,CaptureSite_14,0.0
287,6966,2019-06-10,2019,24,201924,CaptureSite_14,0.0
288,6967,2019-06-17,2019,25,201925,CaptureSite_14,0.0
289,6968,2019-06-24,2019,26,201926,CaptureSite_14,0.0
290,6969,2019-07-01,2019,27,201927,CaptureSite_14,0.0
291,6970,2019-07-08,2019,28,201928,CaptureSite_14,0.0
292,6971,2019-07-15,2019,29,201929,CaptureSite_14,0.0
293,6972,2019-07-22,2019,30,201930,CaptureSite_14,0.0
294,6973,2019-07-29,2019,31,201931,CaptureSite_14,0.0
295,6974,2019-08-05,2019,32,201932,CaptureSite_14,0.0
296,6975,2019-08-12,2019,33,201933,CaptureSite_14,0.0
297,6976,2019-08-19,2019,34,201934,CaptureSite_14,0.0
298,6977,2019-08-26,2019,35,201935,CaptureSite_14,0.0
299,6978,2019-09-02,2019,36,201936,CaptureSite_14,0.0
300,6979,2019-09-09,2019,37,201937,CaptureSite_14,0.0
301,6980,2019-09-16,2019,38,201938,CaptureSite_14,0.0
302,6981,2019-09-23,2019,39,201939,CaptureSite_14,0.0
303,6982,2019-09-30,2019,40,201940,CaptureSite_14,0.0
304,6983,2019-10-07,2019,41,201941,CaptureSite_14,0.0
305,6984,2019-10-14,2019,42,201942,CaptureSite_14,0.0
306,6985,2019-10-21,2019,43,201943,CaptureSite_14,0.0
307,6986,2019-10-28,2019,44,201944,CaptureSite_14,0.0
308,7900,2019-01-01,2019,1,201901,CaptureSite_15,0.0
309,7901,2019-01-07,2019,2,201902,CaptureSite_15,0.0
310,7902,2019-01-14,2019,3,201903,CaptureSite_15,0.0
311,7903,2019-01-21,2019,4,201904,CaptureSite_15,0.0
312,7904,2019-01-28,2019,5,201905,CaptureSite_15,0.0
313,7905,2019-02-04,2019,6,201906,CaptureSite_15,0.0
314,7906,2019-02-11,2019,7,201907,CaptureSite_15,0.0
315,7907,2019-02-18,2019,8,201908,CaptureSite_15,0.0
316,7908,2019-02-25,2019,9,201909,CaptureSite_15,0.0
317,7909,2019-03-04,2019,10,201910,CaptureSite_15,0.0
318,7910,2019-03-11,2019,11,201911,CaptureSite_15,0.0
319,7911,2019-03-18,2019,12,201912,CaptureSite_15,0.0
320,7912,2019-03-25,2019,13,201913,CaptureSite_15,0.0
321,7913,2019-04-01,2019,14,201914,CaptureSite_15,0.0
322,7914,2019-04-08,2019,15,201915,CaptureSite_15,0.0
323,7915,2019-04-15,2019,16,201916,CaptureSite_15,0.0
324,7916,2019-04-22,2019,17,201917,CaptureSite_15,0.0
325,7917,2019-04-29,2019,18,201918,CaptureSite_15,0.0
326,7918,2019-05-06,2019,19,201919,CaptureSite_15,0.0
327,7919,2019-05-13,2019,20,201920,CaptureSite_15,0.0
328,7920,2019-05-20,2019,21,201921,CaptureSite_15,0.0
329,7921,2019-05-27,2019,22,201922,CaptureSite_15,0.0
330,7922,2019-06-03,2019,23,201923,CaptureSite_15,0.0
331,7923,2019-06-10,2019,24,201924,CaptureSite_15,0.0
332,7924,2019-06-17,2019,25,201925,CaptureSite_15,0.0
333,7925,2019-06-24,2019,26,201926,CaptureSite_15,0.0
334,7926,2019-07-01,2019,27,201927,CaptureSite_15,0.0
335,7927,2019-07-08,2019,28,201928,CaptureSite_15,0.0
336,7928,2019-07-15,2019,29,201929,CaptureSite_15,0.0
337,7929,2019-07-22,2019,30,201930,CaptureSite_15,0.0
338,7930,2019-07-29,2019,31,201931,CaptureSite_15,0.0
339,7931,2019-08-05,2019,32,201932,CaptureSite_15,0.0
340,7932,2019-08-12,2019,33,201933,CaptureSite_15,0.0
341,7933,2019-08-19,2019,34,201934,CaptureSite_15,0.0
342,7934,2019-08-26,2019,35,201935,CaptureSite_15,0.0
343,7935,2019-09-02,2019,36,201936,CaptureSite_15,0.0
344,7936,2019-09-09,2019,37,201937,CaptureSite_15,0.0
345,7937,2019-09-16,2019,38,201938,CaptureSite_15,0.0
346,7938,2019-09-23,2019,39,201939,CaptureSite_15,0.0
347,7939,2019-09-30,2019,40,201940,CaptureSite_15,0.0
348,7940,2019-10-07,2019,41,201941,CaptureSite_15,0.0
349,7941,2019-10-14,2019,42,201942,CaptureSite_15,0.0
350,7942,2019-10-21,2019,43,201943,CaptureSite_15,0.0
351,7943,2019-10-28,2019,44,201944,CaptureSite_15,0.0
352,8995,2019-01-01,2019,1,201901,CaptureSite_16,0.0
353,8996,2019-01-07,2019,2,201902,CaptureSite_16,0.0
354,8997,2019-01-14,2019,3,201903,CaptureSite_16,0.0
355,8998,2019-01-21,2019,4,201904,CaptureSite_16,0.0
356,8999,2019-01-28,2019,5,201905,CaptureSite_16,0.0
357,9000,2019-02-04,2019,6,201906,CaptureSite_16,0.0
358,9001,2019-02-11,2019,7,201907,CaptureSite_16,0.0
359,9002,2019-02-18,2019,8,201908,CaptureSite_16,0.0
360,9003,2019-02-25,2019,9,201909,CaptureSite_16,0.0
361,9004,2019-03-04,2019,10,201910,CaptureSite_16,0.0
362,9005,2019-03-11,2019,11,201911,CaptureSite_16,0.0
363,9006,2019-03-18,2019,12,201912,CaptureSite_16,0.0
364,9007,2019-03-25,2019,13,201913,CaptureSite_16,0.0
365,9008,2019-04-01,2019,14,201914,CaptureSite_16,0.0
366,9009,2019-04-08,2019,15,201915,CaptureSite_16,0.0
367,9010,2019-04-15,2019,16,201916,CaptureSite_16,0.0
368,9011,2019-04-22,2019,17,201917,CaptureSite_16,0.0
369,9012,2019-04-29,2019,18,201918,CaptureSite_16,0.0
370,9013,2019-05-06,2019,19,201919,CaptureSite_16,0.0
371,9014,2019-05-13,2019,20,201920,CaptureSite_16,0.0
372,9015,2019-05-20,2019,21,201921,CaptureSite_16,0.0
373,9016,2019-05-27,2019,22,201922,CaptureSite_16,0.0
374,9017,2019-06-03,2019,23,201923,CaptureSite_16,0.0
375,9018,2019-06-10,2019,24,201924,CaptureSite_16,0.0
376,9019,2019-06-17,2019,25,201925,CaptureSite_16,0.0
377,9020,2019-06-24,2019,26,201926,CaptureSite_16,0.0
378,9021,2019-07-01,2019,27,201927,CaptureSite_16,0.0
379,9022,2019-07-08,2019,28,201928,CaptureSite_16,0.0
380,9023,2019-07-15,2019,29,201929,CaptureSite_16,0.0
381,9024,2019-07-22,2019,30,201930,CaptureSite_16,0.0
382,9025,2019-07-29,2019,31,201931,CaptureSite_16,0.0
383,9026,2019-08-05,2019,32,201932,CaptureSite_16,0.0
384,9027,2019-08-12,2019,33,201933,CaptureSite_16,0.0
385,9028,2019-08-19,2019,34,201934,CaptureSite_16,0.0
386,9029,2019-08-26,2019,35,201935,CaptureSite_16,0.0
387,9030,2019-09-02,2019,36,201936,CaptureSite_16,0.0
388,9031,2019-09-09,2019,37,201937,CaptureSite_16,0.0
389,9032,2019-09-16,2019,38,201938,CaptureSite_16,0.0
390,9033,2019-09-23,2019,39,201939,CaptureSite_16,0.0
391,9034,2019-09-30,2019,40,201940,CaptureSite_16,0.0
392,9035,2019-10-07,2019,41,201941,CaptureSite_16,0.0
393,9036,2019-10-14,2019,42,201942,CaptureSite_16,0.0
394,9037,2019-10-21,2019,43,201943,CaptureSite_16,0.0
395,9038,2019-10-28,2019,44,201944,CaptureSite_16,0.0
396,9995,2019-01-01,2019,1,201901,CaptureSite_17,0.0
397,9996,2019-01-07,2019,2,201902,CaptureSite_17,0.0
398,9997,2019-01-14,2019,3,201903,CaptureSite_17,0.0
399,9998,2019-01-21,2019,4,201904,CaptureSite_17,0.0
400,9999,2019-01-28,2019,5,201905,CaptureSite_17,0.0
401,10000,2019-02-04,2019,6,201906,CaptureSite_17,0.0
402,10001,2019-02-11,2019,7,201907,CaptureSite_17,0.0
403,10002,2019-02-18,2019,8,201908,CaptureSite_17,0.0
404,10003,2019-02-25,2019,9,201909,CaptureSite_17,0.0
405,10004,2019-03-04,2019,10,201910,CaptureSite_17,0.0
406,10005,2019-03-11,2019,11,201911,CaptureSite_17,0.0
407,10006,2019-03-18,2019,12,201912,CaptureSite_17,0.0
408,10007,2019-03-25,2019,13,201913,CaptureSite_17,0.0
409,10008,2019-04-01,2019,14,201914,CaptureSite_17,0.0
410,10009,2019-04-08,2019,15,201915,CaptureSite_17,0.0
411,10010,2019-04-15,2019,16,201916,CaptureSite_17,0.0
412,10011,2019-04-22,2019,17,201917,CaptureSite_17,0.0
413,10012,2019-04-29,2019,18,201918,CaptureSite_17,0.0
414,10013,2019-05-06,2019,19,201919,CaptureSite_17,0.0
415,10014,2019-05-13,2019,20,201920,CaptureSite_17,0.0
416,10015,2019-05-20,2019,21,201921,CaptureSite_17,0.0
417,10016,2019-05-27,2019,22,201922,CaptureSite_17,0.0
418,10017,2019-06-03,2019,23,201923,CaptureSite_17,0.0
419,10018,2019-06-10,2019,24,201924,CaptureSite_17,0.0
420,10019,2019-06-17,2019,25,201925,CaptureSite_17,0.0
421,10020,2019-06-24,2019,26,201926,CaptureSite_17,0.0
422,10021,2019-07-01,2019,27,201927,CaptureSite_17,0.0
