Date_TimeCaught,year,week_of_year,year_woy,CaptureSite,Capture_Number
2001-09-17,2001,38,200138,CaptureSite_0,0.0
2001-09-24,2001,39,200139,CaptureSite_0,0.0
2001-10-01,2001,40,200140,CaptureSite_0,0.0
2001-10-08,2001,41,200141,CaptureSite_0,0.0
2001-10-15,2001,42,200142,CaptureSite_0,0.0
2001-10-22,2001,43,200143,CaptureSite_0,1.0
2001-10-29,2001,44,200144,CaptureSite_0,1.0
2001-11-05,2001,45,200145,CaptureSite_0,0.0
2001-11-12,2001,46,200146,CaptureSite_0,0.0
2001-11-19,2001,47,200147,CaptureSite_0,0.0
2001-11-26,2001,48,200148,CaptureSite_0,0.0
2001-12-03,2001,49,200149,CaptureSite_0,0.0
2001-12-10,2001,50,200150,CaptureSite_0,0.0
2001-12-17,2001,51,200151,CaptureSite_0,0.0
2001-12-24,2001,52,200152,CaptureSite_0,0.0
2002-01-01,2002,1,200201,CaptureSite_0,0.0
2002-01-07,2002,2,200202,CaptureSite_0,0.0
2002-01-14,2002,3,200203,CaptureSite_0,0.0
2002-01-21,2002,4,200204,CaptureSite_0,0.0
2002-01-28,2002,5,200205,CaptureSite_0,0.0
2002-02-04,2002,6,200206,CaptureSite_0,0.0
2002-02-11,2002,7,200207,CaptureSite_0,0.0
2002-02-18,2002,8,200208,CaptureSite_0,0.0
2002-02-25,2002,9,200209,CaptureSite_0,0.0
2002-03-04,2002,10,200210,CaptureSite_0,0.0
2002-03-11,2002,11,200211,CaptureSite_0,1.0
2002-03-18,2002,12,200212,CaptureSite_0,0.0
2002-03-25,2002,13,200213,CaptureSite_0,0.0
2002-04-01,2002,14,200214,CaptureSite_0,0.0
2002-04-08,2002,15,200215,CaptureSite_0,0.0
2002-04-15,2002,16,200216,CaptureSite_0,0.0
2002-04-22,2002,17,200217,CaptureSite_0,0.0
2002-04-29,2002,18,200218,CaptureSite_0,0.0
2002-05-06,2002,19,200219,CaptureSite_0,0.0
2002-05-13,2002,20,200220,CaptureSite_0,0.0
2002-05-20,2002,21,200221,CaptureSite_0,0.0
2002-05-27,2002,22,200222,CaptureSite_0,0.0
2002-06-03,2002,23,200223,CaptureSite_0,0.0
2002-06-10,2002,24,200224,CaptureSite_0,0.0
2002-06-17,2002,25,200225,CaptureSite_0,0.0
2002-06-24,2002,26,200226,CaptureSite_0,0.0
2002-07-01,2002,27,200227,CaptureSite_0,0.0
2002-07-08,2002,28,200228,CaptureSite_0,0.0
2002-07-15,2002,29,200229,CaptureSite_0,0.0
2002-07-22,2002,30,200230,CaptureSite_0,0.0
2002-07-29,2002,31,200231,CaptureSite_0,0.0
2002-08-05,2002,32,200232,CaptureSite_0,2.0
2002-08-12,2002,33,200233,CaptureSite_0,0.0
2002-08-19,2002,34,200234,CaptureSite_0,0.0
2002-08-26,2002,35,200235,CaptureSite_0,0.0
2002-09-02,2002,36,200236,CaptureSite_0,0.0
2002-09-09,2002,37,200237,CaptureSite_0,0.0
2002-09-16,2002,38,200238,CaptureSite_0,0.0
2002-09-23,2002,39,200239,CaptureSite_0,0.0
2002-09-30,2002,40,200240,CaptureSite_0,0.0
2002-10-07,2002,41,200241,CaptureSite_0,0.0
2002-10-14,2002,42,200242,CaptureSite_0,0.0
2002-10-21,2002,43,200243,CaptureSite_0,3.0
2002-10-28,2002,44,200244,CaptureSite_0,0.0
2002-11-04,2002,45,200245,CaptureSite_0,0.0
2002-11-11,2002,46,200246,CaptureSite_0,0.0
2002-11-18,2002,47,200247,CaptureSite_0,0.0
2002-11-25,2002,48,200248,CaptureSite_0,0.0
2002-12-02,2002,49,200249,CaptureSite_0,0.0
2002-12-09,2002,50,200250,CaptureSite_0,0.0
2002-12-16,2002,51,200251,CaptureSite_0,0.0
2002-12-23,2002,52,200252,CaptureSite_0,0.0
2003-01-01,2003,1,200301,CaptureSite_0,0.0
2003-01-06,2003,2,200302,CaptureSite_0,0.0
2003-01-13,2003,3,200303,CaptureSite_0,0.0
2003-01-20,2003,4,200304,CaptureSite_0,0.0
2003-01-27,2003,5,200305,CaptureSite_0,0.0
2003-02-03,2003,6,200306,CaptureSite_0,0.0
2003-02-10,2003,7,200307,CaptureSite_0,0.0
2003-02-17,2003,8,200308,CaptureSite_0,0.0
2003-02-24,2003,9,200309,CaptureSite_0,0.0
2003-03-03,2003,10,200310,CaptureSite_0,0.0
2003-03-10,2003,11,200311,CaptureSite_0,0.0
2003-03-17,2003,12,200312,CaptureSite_0,0.0
2003-03-24,2003,13,200313,CaptureSite_0,0.0
2003-03-31,2003,14,200314,CaptureSite_0,0.0
2003-04-07,2003,15,200315,CaptureSite_0,0.0
2003-04-14,2003,16,200316,CaptureSite_0,0.0
2003-04-21,2003,17,200317,CaptureSite_0,0.0
2003-04-28,2003,18,200318,CaptureSite_0,0.0
2003-05-05,2003,19,200319,CaptureSite_0,0.0
2003-05-12,2003,20,200320,CaptureSite_0,0.0
2003-05-19,2003,21,200321,CaptureSite_0,0.0
2003-05-26,2003,22,200322,CaptureSite_0,0.0
2003-06-02,2003,23,200323,CaptureSite_0,0.0
2003-06-09,2003,24,200324,CaptureSite_0,1.0
2003-06-16,2003,25,200325,CaptureSite_0,0.0
2003-06-23,2003,26,200326,CaptureSite_0,0.0
2003-06-30,2003,27,200327,CaptureSite_0,0.0
2003-07-07,2003,28,200328,CaptureSite_0,0.0
2003-07-14,2003,29,200329,CaptureSite_0,0.0
2003-07-21,2003,30,200330,CaptureSite_0,0.0
2003-07-28,2003,31,200331,CaptureSite_0,0.0
2003-08-04,2003,32,200332,CaptureSite_0,0.0
2003-08-11,2003,33,200333,CaptureSite_0,1.0
2003-08-18,2003,34,200334,CaptureSite_0,0.0
2003-08-25,2003,35,200335,CaptureSite_0,0.0
2003-09-01,2003,36,200336,CaptureSite_0,1.0
2003-09-08,2003,37,200337,CaptureSite_0,0.0
2003-09-15,2003,38,200338,CaptureSite_0,0.0
2003-09-22,2003,39,200339,CaptureSite_0,4.0
2003-09-29,2003,40,200340,CaptureSite_0,0.0
2003-10-06,2003,41,200341,CaptureSite_0,0.0
2003-10-13,2003,42,200342,CaptureSite_0,0.0
2003-10-20,2003,43,200343,CaptureSite_0,0.0
2003-10-27,2003,44,200344,CaptureSite_0,0.0
2003-11-03,2003,45,200345,CaptureSite_0,0.0
2003-11-10,2003,46,200346,CaptureSite_0,0.0
2003-11-17,2003,47,200347,CaptureSite_0,0.0
2003-11-24,2003,48,200348,CaptureSite_0,0.0
2003-12-01,2003,49,200349,CaptureSite_0,0.0
2003-12-08,2003,50,200350,CaptureSite_0,0.0
2003-12-15,2003,51,200351,CaptureSite_0,0.0
2003-12-22,2003,52,200352,CaptureSite_0,0.0
2004-01-01,2004,1,200401,CaptureSite_0,0.0
2004-01-05,2004,2,200402,CaptureSite_0,0.0
2004-01-12,2004,3,200403,CaptureSite_0,0.0
2004-01-19,2004,4,200404,CaptureSite_0,0.0
2004-01-26,2004,5,200405,CaptureSite_0,0.0
2004-02-02,2004,6,200406,CaptureSite_0,0.0
2004-02-09,2004,7,200407,CaptureSite_0,0.0
2004-02-16,2004,8,200408,CaptureSite_0,0.0
2004-02-23,2004,9,200409,CaptureSite_0,0.0
2004-03-01,2004,10,200410,CaptureSite_0,0.0
2004-03-08,2004,11,200411,CaptureSite_0,0.0
2004-03-15,2004,12,200412,CaptureSite_0,0.0
2004-03-22,2004,13,200413,CaptureSite_0,0.0
2004-03-29,2004,14,200414,CaptureSite_0,0.0
2004-04-05,2004,15,200415,CaptureSite_0,0.0
2004-04-12,2004,16,200416,CaptureSite_0,0.0
2004-04-19,2004,17,200417,CaptureSite_0,0.0
2004-04-26,2004,18,200418,CaptureSite_0,0.0
2004-05-03,2004,19,200419,CaptureSite_0,0.0
2004-05-10,2004,20,200420,CaptureSite_0,0.0
2004-05-17,2004,21,200421,CaptureSite_0,0.0
2004-05-24,2004,22,200422,CaptureSite_0,0.0
2004-05-31,2004,23,200423,CaptureSite_0,0.0
2004-06-07,2004,24,200424,CaptureSite_0,0.0
2004-06-14,2004,25,200425,CaptureSite_0,0.0
2004-06-21,2004,26,200426,CaptureSite_0,0.0
2004-06-28,2004,27,200427,CaptureSite_0,0.0
2004-07-05,2004,28,200428,CaptureSite_0,0.0
2004-07-12,2004,29,200429,CaptureSite_0,0.0
2004-07-19,2004,30,200430,CaptureSite_0,0.0
2004-07-26,2004,31,200431,CaptureSite_0,0.0
2004-08-02,2004,32,200432,CaptureSite_0,0.0
2004-08-09,2004,33,200433,CaptureSite_0,0.0
2004-08-16,2004,34,200434,CaptureSite_0,0.0
2004-08-23,2004,35,200435,CaptureSite_0,0.0
2004-08-30,2004,36,200436,CaptureSite_0,0.0
2004-09-06,2004,37,200437,CaptureSite_0,0.0
2004-09-13,2004,38,200438,CaptureSite_0,0.0
2004-09-20,2004,39,200439,CaptureSite_0,0.0
2004-09-27,2004,40,200440,CaptureSite_0,0.0
2004-10-04,2004,41,200441,CaptureSite_0,0.0
2004-10-11,2004,42,200442,CaptureSite_0,1.0
2004-10-18,2004,43,200443,CaptureSite_0,0.0
2004-10-25,2004,44,200444,CaptureSite_0,0.0
2004-11-01,2004,45,200445,CaptureSite_0,0.0
2004-11-08,2004,46,200446,CaptureSite_0,0.0
2004-11-15,2004,47,200447,CaptureSite_0,0.0
2004-11-22,2004,48,200448,CaptureSite_0,0.0
2004-11-29,2004,49,200449,CaptureSite_0,0.0
2004-12-06,2004,50,200450,CaptureSite_0,0.0
2004-12-13,2004,51,200451,CaptureSite_0,0.0
2004-12-20,2004,52,200452,CaptureSite_0,0.0
2004-12-27,2004,53,200453,CaptureSite_0,0.0
2005-01-01,2005,53,200553,CaptureSite_0,0.0
2005-01-03,2005,1,200501,CaptureSite_0,0.0
2005-01-10,2005,2,200502,CaptureSite_0,0.0
2005-01-17,2005,3,200503,CaptureSite_0,0.0
2005-01-24,2005,4,200504,CaptureSite_0,0.0
2005-01-31,2005,5,200505,CaptureSite_0,0.0
2005-02-07,2005,6,200506,CaptureSite_0,0.0
2005-02-14,2005,7,200507,CaptureSite_0,0.0
2005-02-21,2005,8,200508,CaptureSite_0,0.0
2005-02-28,2005,9,200509,CaptureSite_0,0.0
2005-03-07,2005,10,200510,CaptureSite_0,0.0
2005-03-14,2005,11,200511,CaptureSite_0,0.0
2005-03-21,2005,12,200512,CaptureSite_0,0.0
2005-03-28,2005,13,200513,CaptureSite_0,0.0
2005-04-04,2005,14,200514,CaptureSite_0,0.0
2005-04-11,2005,15,200515,CaptureSite_0,0.0
2005-04-18,2005,16,200516,CaptureSite_0,0.0
2005-04-25,2005,17,200517,CaptureSite_0,0.0
2005-05-02,2005,18,200518,CaptureSite_0,0.0
2005-05-09,2005,19,200519,CaptureSite_0,0.0
2005-05-16,2005,20,200520,CaptureSite_0,0.0
2005-05-23,2005,21,200521,CaptureSite_0,0.0
2005-05-30,2005,22,200522,CaptureSite_0,0.0
2005-06-06,2005,23,200523,CaptureSite_0,0.0
2005-06-13,2005,24,200524,CaptureSite_0,0.0
2005-06-20,2005,25,200525,CaptureSite_0,0.0
2005-06-27,2005,26,200526,CaptureSite_0,0.0
2005-07-04,2005,27,200527,CaptureSite_0,0.0
2005-07-11,2005,28,200528,CaptureSite_0,0.0
2005-07-18,2005,29,200529,CaptureSite_0,0.0
2005-07-25,2005,30,200530,CaptureSite_0,0.0
2005-08-01,2005,31,200531,CaptureSite_0,0.0
2005-08-08,2005,32,200532,CaptureSite_0,0.0
2005-08-15,2005,33,200533,CaptureSite_0,0.0
2005-08-22,2005,34,200534,CaptureSite_0,0.0
2005-08-29,2005,35,200535,CaptureSite_0,0.0
2005-09-05,2005,36,200536,CaptureSite_0,0.0
2005-09-12,2005,37,200537,CaptureSite_0,0.0
2005-09-19,2005,38,200538,CaptureSite_0,0.0
2005-09-26,2005,39,200539,CaptureSite_0,0.0
2005-10-03,2005,40,200540,CaptureSite_0,0.0
2005-10-10,2005,41,200541,CaptureSite_0,0.0
2005-10-17,2005,42,200542,CaptureSite_0,0.0
2005-10-24,2005,43,200543,CaptureSite_0,0.0
2005-10-31,2005,44,200544,CaptureSite_0,0.0
2005-11-07,2005,45,200545,CaptureSite_0,0.0
2005-11-14,2005,46,200546,CaptureSite_0,0.0
2005-11-21,2005,47,200547,CaptureSite_0,0.0
2005-11-28,2005,48,200548,CaptureSite_0,0.0
2005-12-05,2005,49,200549,CaptureSite_0,0.0
2005-12-12,2005,50,200550,CaptureSite_0,0.0
2005-12-19,2005,51,200551,CaptureSite_0,0.0
2005-12-26,2005,52,200552,CaptureSite_0,0.0
2006-01-01,2006,52,200652,CaptureSite_0,0.0
2006-01-02,2006,1,200601,CaptureSite_0,0.0
2006-01-09,2006,2,200602,CaptureSite_0,0.0
2006-01-16,2006,3,200603,CaptureSite_0,0.0
2006-01-23,2006,4,200604,CaptureSite_0,0.0
2006-01-30,2006,5,200605,CaptureSite_0,0.0
2006-02-06,2006,6,200606,CaptureSite_0,0.0
2006-02-13,2006,7,200607,CaptureSite_0,0.0
2006-02-20,2006,8,200608,CaptureSite_0,0.0
2006-02-27,2006,9,200609,CaptureSite_0,0.0
2006-03-06,2006,10,200610,CaptureSite_0,0.0
2006-03-13,2006,11,200611,CaptureSite_0,0.0
2006-03-20,2006,12,200612,CaptureSite_0,0.0
2006-03-27,2006,13,200613,CaptureSite_0,0.0
2006-04-03,2006,14,200614,CaptureSite_0,0.0
2006-04-10,2006,15,200615,CaptureSite_0,0.0
2006-04-17,2006,16,200616,CaptureSite_0,0.0
2006-04-24,2006,17,200617,CaptureSite_0,0.0
2006-05-01,2006,18,200618,CaptureSite_0,0.0
2006-05-08,2006,19,200619,CaptureSite_0,0.0
2006-05-15,2006,20,200620,CaptureSite_0,0.0
2006-05-22,2006,21,200621,CaptureSite_0,0.0
2006-05-29,2006,22,200622,CaptureSite_0,0.0
2006-06-05,2006,23,200623,CaptureSite_0,0.0
2006-06-12,2006,24,200624,CaptureSite_0,0.0
2006-06-19,2006,25,200625,CaptureSite_0,0.0
2006-06-26,2006,26,200626,CaptureSite_0,0.0
2006-07-03,2006,27,200627,CaptureSite_0,0.0
2006-07-10,2006,28,200628,CaptureSite_0,0.0
2006-07-17,2006,29,200629,CaptureSite_0,0.0
2006-07-24,2006,30,200630,CaptureSite_0,0.0
2006-07-31,2006,31,200631,CaptureSite_0,0.0
2006-08-07,2006,32,200632,CaptureSite_0,0.0
2006-08-14,2006,33,200633,CaptureSite_0,0.0
2006-08-21,2006,34,200634,CaptureSite_0,0.0
2006-08-28,2006,35,200635,CaptureSite_0,0.0
2006-09-04,2006,36,200636,CaptureSite_0,0.0
2006-09-11,2006,37,200637,CaptureSite_0,0.0
2006-09-18,2006,38,200638,CaptureSite_0,0.0
2006-09-25,2006,39,200639,CaptureSite_0,0.0
2006-10-02,2006,40,200640,CaptureSite_0,0.0
2006-10-09,2006,41,200641,CaptureSite_0,0.0
2006-10-16,2006,42,200642,CaptureSite_0,0.0
2006-10-23,2006,43,200643,CaptureSite_0,0.0
2006-10-30,2006,44,200644,CaptureSite_0,0.0
2006-11-06,2006,45,200645,CaptureSite_0,0.0
2006-11-13,2006,46,200646,CaptureSite_0,0.0
2006-11-20,2006,47,200647,CaptureSite_0,0.0
2006-11-27,2006,48,200648,CaptureSite_0,0.0
2006-12-04,2006,49,200649,CaptureSite_0,0.0
2006-12-11,2006,50,200650,CaptureSite_0,0.0
2006-12-18,2006,51,200651,CaptureSite_0,0.0
2007-01-01,2007,1,200701,CaptureSite_0,0.0
2007-01-08,2007,2,200702,CaptureSite_0,0.0
2007-01-15,2007,3,200703,CaptureSite_0,0.0
2007-01-22,2007,4,200704,CaptureSite_0,0.0
2007-01-29,2007,5,200705,CaptureSite_0,0.0
2007-02-05,2007,6,200706,CaptureSite_0,0.0
2007-02-12,2007,7,200707,CaptureSite_0,0.0
2007-02-19,2007,8,200708,CaptureSite_0,0.0
2007-02-26,2007,9,200709,CaptureSite_0,0.0
2007-03-05,2007,10,200710,CaptureSite_0,0.0
2007-03-12,2007,11,200711,CaptureSite_0,0.0
2007-03-19,2007,12,200712,CaptureSite_0,0.0
2007-03-26,2007,13,200713,CaptureSite_0,0.0
2007-04-02,2007,14,200714,CaptureSite_0,0.0
2007-04-09,2007,15,200715,CaptureSite_0,0.0
2007-04-16,2007,16,200716,CaptureSite_0,0.0
2007-04-23,2007,17,200717,CaptureSite_0,0.0
2007-04-30,2007,18,200718,CaptureSite_0,0.0
2007-05-07,2007,19,200719,CaptureSite_0,0.0
2007-05-14,2007,20,200720,CaptureSite_0,0.0
2007-05-21,2007,21,200721,CaptureSite_0,0.0
2007-05-28,2007,22,200722,CaptureSite_0,0.0
2007-06-04,2007,23,200723,CaptureSite_0,0.0
2007-06-11,2007,24,200724,CaptureSite_0,0.0
2007-06-18,2007,25,200725,CaptureSite_0,0.0
2007-06-25,2007,26,200726,CaptureSite_0,0.0
2007-07-02,2007,27,200727,CaptureSite_0,0.0
2007-07-09,2007,28,200728,CaptureSite_0,0.0
2007-07-16,2007,29,200729,CaptureSite_0,0.0
2007-07-23,2007,30,200730,CaptureSite_0,0.0
2007-07-30,2007,31,200731,CaptureSite_0,0.0
2007-08-06,2007,32,200732,CaptureSite_0,0.0
2007-08-13,2007,33,200733,CaptureSite_0,0.0
2007-08-20,2007,34,200734,CaptureSite_0,0.0
2007-08-27,2007,35,200735,CaptureSite_0,0.0
2007-09-03,2007,36,200736,CaptureSite_0,0.0
2007-09-10,2007,37,200737,CaptureSite_0,0.0
2007-09-17,2007,38,200738,CaptureSite_0,0.0
2007-09-24,2007,39,200739,CaptureSite_0,0.0
2007-10-01,2007,40,200740,CaptureSite_0,0.0
2007-10-08,2007,41,200741,CaptureSite_0,0.0
2007-10-15,2007,42,200742,CaptureSite_0,0.0
2007-10-22,2007,43,200743,CaptureSite_0,0.0
2007-10-29,2007,44,200744,CaptureSite_0,0.0
2007-11-05,2007,45,200745,CaptureSite_0,0.0
2007-11-12,2007,46,200746,CaptureSite_0,0.0
2007-11-19,2007,47,200747,CaptureSite_0,0.0
2007-11-26,2007,48,200748,CaptureSite_0,0.0
2007-12-03,2007,49,200749,CaptureSite_0,0.0
2007-12-10,2007,50,200750,CaptureSite_0,0.0
2007-12-17,2007,51,200751,CaptureSite_0,0.0
2007-12-24,2007,52,200752,CaptureSite_0,0.0
2010-01-01,2010,53,201053,CaptureSite_0,0.0
2010-01-04,2010,1,201001,CaptureSite_0,0.0
2010-01-11,2010,2,201002,CaptureSite_0,0.0
2010-01-18,2010,3,201003,CaptureSite_0,0.0
2010-01-25,2010,4,201004,CaptureSite_0,0.0
2010-02-01,2010,5,201005,CaptureSite_0,0.0
2010-02-08,2010,6,201006,CaptureSite_0,0.0
2010-02-15,2010,7,201007,CaptureSite_0,0.0
2010-02-22,2010,8,201008,CaptureSite_0,0.0
2010-03-01,2010,9,201009,CaptureSite_0,0.0
2010-03-08,2010,10,201010,CaptureSite_0,0.0
2010-03-15,2010,11,201011,CaptureSite_0,0.0
2010-03-22,2010,12,201012,CaptureSite_0,0.0
2010-03-29,2010,13,201013,CaptureSite_0,0.0
2010-04-05,2010,14,201014,CaptureSite_0,0.0
2010-04-12,2010,15,201015,CaptureSite_0,0.0
2010-04-19,2010,16,201016,CaptureSite_0,1.0
2010-04-26,2010,17,201017,CaptureSite_0,0.0
2010-05-03,2010,18,201018,CaptureSite_0,0.0
2010-05-10,2010,19,201019,CaptureSite_0,0.0
2010-05-17,2010,20,201020,CaptureSite_0,0.0
2010-05-24,2010,21,201021,CaptureSite_0,0.0
2010-05-31,2010,22,201022,CaptureSite_0,0.0
2010-06-07,2010,23,201023,CaptureSite_0,0.0
2010-06-14,2010,24,201024,CaptureSite_0,0.0
2010-06-21,2010,25,201025,CaptureSite_0,0.0
2010-06-28,2010,26,201026,CaptureSite_0,0.0
2010-07-05,2010,27,201027,CaptureSite_0,0.0
2010-07-12,2010,28,201028,CaptureSite_0,0.0
2010-07-19,2010,29,201029,CaptureSite_0,0.0
2010-07-26,2010,30,201030,CaptureSite_0,0.0
2010-08-02,2010,31,201031,CaptureSite_0,0.0
2010-08-09,2010,32,201032,CaptureSite_0,0.0
2010-08-16,2010,33,201033,CaptureSite_0,0.0
2010-08-23,2010,34,201034,CaptureSite_0,0.0
2010-08-30,2010,35,201035,CaptureSite_0,0.0
2010-09-06,2010,36,201036,CaptureSite_0,0.0
2010-09-13,2010,37,201037,CaptureSite_0,0.0
2010-09-20,2010,38,201038,CaptureSite_0,1.0
2010-09-27,2010,39,201039,CaptureSite_0,1.0
2010-10-04,2010,40,201040,CaptureSite_0,0.0
2010-10-11,2010,41,201041,CaptureSite_0,0.0
2010-10-18,2010,42,201042,CaptureSite_0,0.0
2010-10-25,2010,43,201043,CaptureSite_0,2.0
2010-11-01,2010,44,201044,CaptureSite_0,1.0
2010-11-08,2010,45,201045,CaptureSite_0,0.0
2010-11-15,2010,46,201046,CaptureSite_0,1.0
2010-11-22,2010,47,201047,CaptureSite_0,0.0
2010-11-29,2010,48,201048,CaptureSite_0,0.0
2010-12-06,2010,49,201049,CaptureSite_0,0.0
2010-12-13,2010,50,201050,CaptureSite_0,0.0
2010-12-20,2010,51,201051,CaptureSite_0,0.0
2010-12-27,2010,52,201052,CaptureSite_0,0.0
2011-01-01,2011,52,201152,CaptureSite_0,0.0
2011-01-03,2011,1,201101,CaptureSite_0,0.0
2011-01-10,2011,2,201102,CaptureSite_0,0.0
2011-01-17,2011,3,201103,CaptureSite_0,0.0
2011-01-24,2011,4,201104,CaptureSite_0,0.0
2011-01-31,2011,5,201105,CaptureSite_0,0.0
2011-02-07,2011,6,201106,CaptureSite_0,0.0
2011-02-14,2011,7,201107,CaptureSite_0,0.0
2011-02-21,2011,8,201108,CaptureSite_0,0.0
2011-02-28,2011,9,201109,CaptureSite_0,0.0
2011-03-07,2011,10,201110,CaptureSite_0,0.0
2011-03-14,2011,11,201111,CaptureSite_0,0.0
2011-03-21,2011,12,201112,CaptureSite_0,0.0
2011-03-28,2011,13,201113,CaptureSite_0,0.0
2011-04-04,2011,14,201114,CaptureSite_0,0.0
2011-04-11,2011,15,201115,CaptureSite_0,0.0
2011-04-18,2011,16,201116,CaptureSite_0,0.0
2011-04-25,2011,17,201117,CaptureSite_0,0.0
2011-05-02,2011,18,201118,CaptureSite_0,0.0
2011-05-09,2011,19,201119,CaptureSite_0,0.0
2011-05-16,2011,20,201120,CaptureSite_0,0.0
2011-05-23,2011,21,201121,CaptureSite_0,0.0
2011-05-30,2011,22,201122,CaptureSite_0,0.0
2011-06-06,2011,23,201123,CaptureSite_0,0.0
2011-06-13,2011,24,201124,CaptureSite_0,1.0
2011-06-20,2011,25,201125,CaptureSite_0,1.0
2011-06-27,2011,26,201126,CaptureSite_0,0.0
2011-07-04,2011,27,201127,CaptureSite_0,0.0
2011-07-11,2011,28,201128,CaptureSite_0,0.0
2011-07-18,2011,29,201129,CaptureSite_0,0.0
2011-07-25,2011,30,201130,CaptureSite_0,0.0
2011-08-01,2011,31,201131,CaptureSite_0,0.0
2011-08-08,2011,32,201132,CaptureSite_0,0.0
2011-08-15,2011,33,201133,CaptureSite_0,1.0
2011-08-22,2011,34,201134,CaptureSite_0,1.0
2011-08-29,2011,35,201135,CaptureSite_0,0.0
2011-09-05,2011,36,201136,CaptureSite_0,0.0
2011-09-12,2011,37,201137,CaptureSite_0,0.0
2011-09-19,2011,38,201138,CaptureSite_0,0.0
2011-09-26,2011,39,201139,CaptureSite_0,0.0
2011-10-03,2011,40,201140,CaptureSite_0,0.0
2011-10-10,2011,41,201141,CaptureSite_0,0.0
2011-10-17,2011,42,201142,CaptureSite_0,2.0
2011-10-24,2011,43,201143,CaptureSite_0,0.0
2011-10-31,2011,44,201144,CaptureSite_0,0.0
2011-11-07,2011,45,201145,CaptureSite_0,0.0
2011-11-14,2011,46,201146,CaptureSite_0,0.0
2011-11-21,2011,47,201147,CaptureSite_0,0.0
2011-11-28,2011,48,201148,CaptureSite_0,0.0
2011-12-05,2011,49,201149,CaptureSite_0,0.0
2011-12-12,2011,50,201150,CaptureSite_0,0.0
2011-12-19,2011,51,201151,CaptureSite_0,0.0
2012-01-01,2012,52,201252,CaptureSite_0,0.0
2012-01-02,2012,1,201201,CaptureSite_0,0.0
2012-01-09,2012,2,201202,CaptureSite_0,1.0
2012-01-16,2012,3,201203,CaptureSite_0,0.0
2012-01-23,2012,4,201204,CaptureSite_0,0.0
2012-01-30,2012,5,201205,CaptureSite_0,0.0
2012-02-06,2012,6,201206,CaptureSite_0,0.0
2012-02-13,2012,7,201207,CaptureSite_0,0.0
2012-02-20,2012,8,201208,CaptureSite_0,0.0
2012-02-27,2012,9,201209,CaptureSite_0,0.0
2012-03-05,2012,10,201210,CaptureSite_0,0.0
2012-03-12,2012,11,201211,CaptureSite_0,0.0
2012-03-19,2012,12,201212,CaptureSite_0,0.0
2012-03-26,2012,13,201213,CaptureSite_0,0.0
2012-04-02,2012,14,201214,CaptureSite_0,0.0
2012-04-09,2012,15,201215,CaptureSite_0,0.0
2012-04-16,2012,16,201216,CaptureSite_0,0.0
2012-04-23,2012,17,201217,CaptureSite_0,1.0
2012-04-30,2012,18,201218,CaptureSite_0,0.0
2012-05-07,2012,19,201219,CaptureSite_0,1.0
2012-05-14,2012,20,201220,CaptureSite_0,0.0
2012-05-21,2012,21,201221,CaptureSite_0,0.0
2012-05-28,2012,22,201222,CaptureSite_0,0.0
2012-06-04,2012,23,201223,CaptureSite_0,1.0
